date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:40:35	188/188	---M--	200	added ('OK')	text/plain	date:Fri,%2005%20Apr%202024%2019:40:34%20GMT	http://markdionniebulingit.test/robots.txt		(from )
03:40:36	190346/190346	---MC-	200	added ('OK')	text/html	date:Fri,%2005%20Apr%202024%2019:40:34%20GMT	http://markdionniebulingit.test/	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/index.html	(from )
03:40:36	55514/55514	---M--	200	added ('OK')	image/png	etag:%22d8da-61544d6d49e65%22	http://markdionniebulingit.test/wp-content/uploads/2024/04/mark-dionnie-bulingit.png	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/uploads/2024/04/mark-dionnie-bulingit.png	(from http://markdionniebulingit.test/)
03:40:36	5756/5756	---M--	200	added ('OK')	text/css	etag:%22167c-61508235dd076%22	http://markdionniebulingit.test/wp-content/themes/hello-elementor/style.min.css?ver=3.0.1	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/themes/hello-elementor/style.min41fe.css	(from http://markdionniebulingit.test/)
03:40:36	5131/5131	---M--	200	added ('OK')	text/css	etag:%22140b-61508235de016%22	http://markdionniebulingit.test/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.1	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/themes/hello-elementor/theme.min41fe.css	(from http://markdionniebulingit.test/)
03:40:36	7325/7325	---M--	200	added ('OK')	text/css	etag:%221c9d-61508235dbcef%22	http://markdionniebulingit.test/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.1	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/themes/hello-elementor/header-footer.min41fe.css	(from http://markdionniebulingit.test/)
03:40:37	118630/118630	---M--	200	added ('OK')	text/css	etag:%221cf66-615082441a74f%22	http://markdionniebulingit.test/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.20.3	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/plugins/elementor/assets/css/frontend-lite.mince8e.css	(from http://markdionniebulingit.test/)
03:40:37	5351/5351	---M--	200	added ('OK')	text/css	etag:%2214e7-6155b14670319%22	http://markdionniebulingit.test/wp-content/uploads/elementor/css/post-6.css?ver=1712330788	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/uploads/elementor/css/post-63dd8.css	(from http://markdionniebulingit.test/)
03:40:37	413/413	---M--	200	added ('OK')	text/css	etag:%2219d-615082441c68f%22	http://markdionniebulingit.test/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.min.css?ver=3.20.3	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/plugins/elementor/assets/css/modules/lazyload/frontend.mince8e.css	(from http://markdionniebulingit.test/)
03:40:37	2405/2405	---M--	200	added ('OK')	application/rss+xml	etag:%22f8a1a0d474b38d14ee01cd8b3a6f69df%22	http://markdionniebulingit.test/feed/	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/feed/index.html	(from http://markdionniebulingit.test/)
03:40:37	16471/16471	---M--	200	added ('OK')	text/css	etag:%224057-6150824459b45%22	http://markdionniebulingit.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://markdionniebulingit.test/)
03:40:38	11053/11053	---M--	200	added ('OK')	text/css	etag:%222b2d-6150836268144%22	http://markdionniebulingit.test/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.20.0	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/plugins/elementor-pro/assets/css/frontend-lite.minc226.css	(from http://markdionniebulingit.test/)
03:40:38	59344/59344	---M--	200	added ('OK')	text/css	etag:%22e7d0-615082444dbde%22	http://markdionniebulingit.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.20.3	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.mince8e.css	(from http://markdionniebulingit.test/)
03:40:38	26702/26702	---M--	200	added ('OK')	text/css	etag:%22684e-615082444f34d%22	http://markdionniebulingit.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.20.3	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.mince8e.css	(from http://markdionniebulingit.test/)
03:40:38	1734/1734	---M--	200	added ('OK')	application/rss+xml	etag:%22f8a1a0d474b38d14ee01cd8b3a6f69df%22	http://markdionniebulingit.test/comments/feed/	C:/My%20Web%20Sites/markdionniebulingit/markdionniebulingit.test/comments/feed/index.html	(from http://markdionniebulingit.test/)
